IS_ABOUT_ID,Paper_ID,Keyword_ID
492883,6635,36808
492884,6635,36825
492885,6636,36850
492886,6636,36851
492887,6636,36852
492888,6637,36853
492889,6638,36854
492890,6638,36855
492891,6638,36856
492892,6639,36857
492893,6639,36858
492894,6639,36859
492895,6640,36860
492896,6640,36715
492897,6640,36861
492898,6641,36862
492899,6641,36863
492900,6641,36864
492901,6642,36865
492902,6642,36866
492903,6642,36867
492904,6643,36868
492905,6643,36869
492906,6643,36870
492907,6644,36871
492908,6644,36872
492909,6644,36873
492910,6645,36727
492911,6646,36874
492912,6646,36875
492913,6646,36876
492914,6647,36877
492915,6647,36878
492916,6647,36879
492917,6648,36880
492918,6648,36881
492919,6648,36882
492920,6649,36883
492921,6649,36633
492922,6649,36884
492923,6650,36885
492924,6650,36886
492925,6650,36887
492926,6651,36888
492927,6651,36889
492928,6651,36890
492929,6652,36740
492930,6652,36891
492931,6652,36892
492932,6653,36893
492933,6653,36894
492934,6653,36895
492935,6654,36639
492936,6654,36896
492937,6654,36897
492938,6655,36898
492939,6655,36899
492940,6655,36900
492941,6656,36901
492942,6656,36902
492943,6656,36903
492944,6657,36904
492945,6657,36905
492946,6657,36906
492947,6658,36759
492948,6658,36715
492949,6658,36907
492950,6659,36908
492951,6661,36909
492952,6661,36910
492953,6661,36911
492954,6662,36912
492955,6662,36913
492956,6662,36914
492957,6663,36915
492958,6663,36916
492959,6665,36917
492960,6665,36918
492961,6665,36919
492962,6666,36727
492963,6666,36740
492964,6666,36920
492965,6667,36921
492966,6667,36922
492967,6667,36923
492968,6668,36924
492969,6668,36925
492970,6668,36926
492971,6669,36713
492972,6669,36927
492973,6669,36813
492974,6670,36928
492975,6670,36929
492976,6670,36930
492977,6672,36931
492978,6672,36932
492979,6673,36933
492980,6673,36934
492981,6674,36759
492982,6674,36935
492983,6674,36936
492984,6675,36937
492985,6676,36938
492986,6676,36939
492987,6676,36940
492988,6677,36941
492989,6677,36942
492990,6677,36943
492991,6678,36944
492992,6678,36945
492993,6678,36946
492994,6679,36947
492995,6679,36948
492996,6679,36949
492997,6680,36727
492998,6681,36950
492999,6681,36951
493000,6681,36952
493001,6682,36953
493002,6682,36954
493003,6682,36949
493004,6683,36955
493005,6683,36956
493006,6683,36957
493007,6684,36958
493008,6684,36959
493009,6685,36960
493010,6685,36961
493011,6685,36962
493012,6686,36963
493013,6686,36964
493014,6686,36965
493015,6687,36966
493016,6687,36967
493017,6687,36788
493018,6688,36968
493019,6688,36969
493020,6688,36970
493021,6689,36727
493022,6690,36933
493023,6690,36971
493024,6690,36972
493025,6691,36973
493026,6691,36974
493027,6691,36975
493028,6692,36976
493029,6692,36859
493030,6692,36977
493031,6693,36978
493032,6693,36742
493033,6693,36946
493034,6694,36979
493035,6694,36980
493036,6694,36693
493037,6695,36759
493038,6695,36981
493039,6695,36982
493040,6696,36983
493041,6696,36984
493042,6696,36985
493043,6697,36637
493044,6697,36986
493045,6698,36987
493046,6698,36988
493047,6698,36857
493048,6699,36989
493049,6699,36803
493050,6700,36990
493051,6700,36991
493052,6700,36992
493053,6701,36993
493054,6701,36994
493055,6701,36995
493056,6702,36996
493057,6702,36997
493058,6702,36998
493059,6703,36999
493060,6703,37000
493061,6704,37001
493062,6704,36815
493063,6705,36968
493064,6705,37002
493065,6705,37003
493066,6706,36879
493067,6706,36773
493068,6706,37004
493069,6707,37005
493070,6707,37006
493071,6707,37007
493072,6708,37008
493073,6708,36762
493074,6708,36823
493075,6709,37009
493076,6709,37010
493077,6709,37011
493078,6710,37012
493079,6710,37013
493080,6710,37014
493081,6711,37015
493082,6711,37016
493083,6711,37017
493084,6712,37018
493085,6712,36633
493086,6712,36903
493087,6713,37019
493088,6713,36798
493089,6714,37020
493090,6714,37021
493091,6715,37022
493092,6715,37023
493093,6715,37024
493094,6716,37025
493095,6716,37026
493096,6716,37027
493097,6717,37028
493098,6717,37029
493099,6717,37030
493100,6718,36996
493101,6718,37031
493102,6718,37032
493103,6719,36727
493104,6719,36946
493105,6719,37033
493106,6720,37034
493107,6720,36930
493108,6720,37035
493109,6721,37036
493110,6721,37037
493111,6721,37038
